Attribute,Risk Level,Category,Reason
"ASLContext","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ASLCrusherDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ASLTechniqueDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AcquisitionContextDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AlgorithmDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AlgorithmDescriptionTrial","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AlternateContentDescriptionSequence","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AnatomicLocationOfExaminingInstrumentDescriptionTrial","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AnatomicPerspectiveDescriptionTrial","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ApplicableSafetyStandardDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ApplicatorDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ApprovalStatusFurtherDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AssertionComments","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AssessmentSummaryDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"AudioComments","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"BoundingBoxTextHorizontalJustification","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CalculatedDoseReferenceDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CalculationComment","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CalculationCommentSequence","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CalculationCommentType","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CalibrationNotes","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ChannelDerivationDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ChannelDescriptionCodeSequence","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CommentsOnPatientPerformanceOfVisualField","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CommentsOnTheScheduledProcedureStep","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CompletionFlagDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CompressionDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ConfigurationDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ConfigurationInformationDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContainerComponentDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContentDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContextGroupExtensionCreatorUID","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContextGroupExtensionFlag","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContextGroupIdentificationSequence","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContextIdentifier","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ContextUID","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CoordinateSystemAxisDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"CurveDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DataBlockDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DataElementDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DataSetDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DetectorDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DimensionDescriptionLabel","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DisplaySetPresentationGroupDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DisplaySubsystemDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"DoseComment","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"EffectiveDoseCalculationMethodDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ExposureControlModeDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"FiducialDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"FieldOfViewDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"FrameOfInterestDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"FrameOfReferenceTransformationComment","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"GeneralAccessoryDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"GeneticModificationsDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"GraphicGroupDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"GraphicLayerDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"HPGLPenDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"HangingProtocolDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"HistogramExplanation","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"IdentificationDescriptionTrial","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ImageFilterDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"ImplantTemplateGroupDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"IndicationDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"InstructionDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"InstructionPerformanceComment","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"InstructionText","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"InterventionDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"InventoryInstanceDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LUTExplanation","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LateralSpreadingDeviceDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LensConstantDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LensDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LensStatusDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"LuminanceResponseDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MaskOperationExplanation","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MaterialNotes","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MaterialPropertiesDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MeasuredDoseDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MeasurementPrecisionDescriptionTrial","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MetaboliteMapDescription","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
"MultiplexedAudioChannelsDescriptionCodeSequence","CRITICAL","Free Text Fields (Highest Risk)","Free text fields often contain identifying information"
